Type,pax_2005
10,189
30,1064
33,2471
34,148
35,249266
36,10533
39,20
40,60795
41,15
42,51663
79,116775
84,3313
91,1619
110,0
111,6348
117,748
122,38
125,560971
131,55321
133,0
150,0
170,4708
173,228
190,2910
194,171129
195,419
216,0
218,0
315,1157
360,103
403,42
404,3050
405,2430651
406,11168
411,378
412,79
416,340335
417,22468
430,0
441,125695
442,2090791
450,0
456,5571374
457,21
459,3707
461,3797017
467,117246
469,165963
471,497939
476,2558
478,6393
479,11208
482,2268751
483,6014919
484,1040554
485,598832
486,5
487,0
489,46041
491,53585
550,0
556,0
602,13669
608,19811181
612,51390010
614,32892338
616,16082497
617,12998127
619,78043820
620,8631885
621,792927
622,72394524
623,6963534
624,6091387
625,4546779
626,17289440
627,3521375
628,7787992
629,42628412
630,2122
631,15182088
632,503911
634,3972475
635,13906
638,3451396
640,9499814
644,1096063
645,1315025
650,4737409
655,77120004
656,2393194
662,37
674,3812911
675,32479937
676,4625988
677,3622535
678,58427
681,160
690,0
691,2890706
692,0
694,54531203
696,130978
698,34878668
699,5260489
710,0
711,0
715,721160
730,0
732,648251
733,0
740,13710
760,2255
765,1918
816,0
817,362
819,159378
820,0
835,2851080
851,0
856,0
860,0
864,0
865,0
868,1494313
All Rows,675874491
