Type,pax_2015
10,517
26,8537
30,226
31,1
33,254
34,56
35,212341
36,1401
40,66208
42,45266
79,88602
80,20
91,1586
110,0
117,192
125,551046
131,176509
133,0
150,0
194,150334
218,0
340,1404
345,138
355,74
360,434
403,0
404,0
405,251650
406,15943
412,25
413,0
415,217620
416,835145
417,15580
430,0
431,89
441,279601
442,358331
448,28560
456,926192
458,2889
459,0
461,309153
469,16272
471,8281
479,65037
482,8966140
483,2031300
484,1608241
485,251702
487,0
489,0
491,725607
556,0
608,17488583
612,105102465
614,92190696
616,2652307
617,3860648
619,24878778
620,5107
621,0
622,31658718
623,6611812
624,477644
625,157338
626,7603890
627,2072131
629,29147183
631,22581624
632,45570
634,24310145
635,0
637,15962
638,24916249
640,0
641,1856
646,530
648,502
650,0
651,699
655,48727122
656,14325812
667,239
671,553
673,19031252
674,335640
675,24814406
676,1162357
677,6525013
678,11113930
681,0
682,82
683,0
684,1210
685,354
687,422349
691,0
692,0
694,73963802
696,2871268
698,46254224
699,32578649
715,0
730,0
732,0
740,0
750,18
817,0
819,158452
820,0
821,1
822,1175
887,426251
888,10682602
889,127467
All Rows,707523169
