Type,pax_2001
79,1327
125,0
150,0
194,445
218,2
405,208817
416,3516
430,0
441,2651785
442,3093199
449,1670836
456,7481255
461,2479728
471,659076
482,548927
483,2076355
550,0
556,0
602,1362746
603,11047314
608,7502947
612,19463228
614,17968941
616,19620274
617,13528349
619,99583950
620,28275667
621,1619783
622,72465192
623,339244
624,4440182
625,6761299
626,16760075
627,4454302
628,719347
629,8749494
630,1108415
631,151508
635,0
640,19445376
645,1500058
650,6963537
654,374676
655,83941877
656,2289369
674,2423183
675,8872513
676,177597
681,0
691,2381172
694,29041142
696,90829
698,18440899
699,2088437
710,36948
715,29642333
730,1408349
732,1900729
733,3100088
740,573409
760,2031361
765,82847
816,0
817,124242
819,494742
820,0
835,2912882
850,0
851,0
852,0
854,0
856,0
860,0
864,0
865,0
868,2216913
All Rows,579353033
