Type,pax_1993
218,0
405,413490
408,641336
412,270
416,0
441,2107814
442,1444582
450,181996
456,2348481
461,1595435
464,113133
465,10160
466,20005
467,946928
469,1290932
483,1439240
484,120763
489,611473
550,27500
556,0
570,382425
601,226709
602,2283836
603,9474082
616,13720947
617,11529530
618,504282
619,65563568
620,44774686
621,3180433
622,44140992
625,6845163
626,6481007
630,2791662
635,639
640,24180508
645,1652081
650,7130519
655,77372833
681,0
690,3784997
691,3632645
692,187174
693,210832
694,8989030
710,1934545
711,21669
715,68608559
730,15733510
732,2927024
733,3072143
740,663883
760,10881519
765,442214
809,0
816,2969501
817,359811
819,306141
820,0
822,138346
850,0
851,84
852,0
854,20612
860,0
865,0
866,3850
867,393144
868,1478399
All Rows,462309072
