Type,pax_2018
10,487
26,21767
30,32
31,110
33,1355
34,60
35,139892
36,3234
40,51153
42,57815
79,88017
91,1010
110,0
117,19
125,470503
131,113049
133,0
143,0
150,0
194,114003
195,7
218,0
317,0
340,377
355,146
359,1847
360,262
362,231
364,2925
366,400
368,376
370,58
390,158
393,452
403,0
404,0
405,59709
406,15003
412,0
415,262300
416,772110
432,126689
441,250898
442,0
456,618662
458,30134
459,0
461,12732
469,30430
471,890
479,218661
482,5077826
483,410543
484,279894
485,203092
487,0
489,0
491,3357
515,3350
556,0
575,306
608,20147021
609,797
612,123591946
614,128159848
616,2914
617,210610
619,11184
620,6323
621,0
622,23566573
623,6615448
624,1148732
625,91888
626,3925269
627,5161384
628,3614
629,23385720
631,22629445
632,105312
634,5876496
635,0
636,621
637,108975
638,28722799
639,4
640,0
641,954
642,11799
646,785
647,111
651,619
652,765
655,31934157
656,10078402
658,640
663,157
667,244
669,5229
671,421
673,39350090
674,224352
675,18054479
676,2338463
677,5326018
678,11072700
681,0
682,524
683,0
684,1241
685,392
686,298
687,573471
688,4655
691,0
692,0
694,81142267
696,3105309
698,47408917
699,71389154
710,0
715,0
721,1481709
722,4372816
730,0
732,0
740,0
750,536
770,487
774,2
775,529
819,9726
820,0
821,0
837,3009
838,3411032
839,745252
887,517601
888,51771769
889,431896
All Rows,787692231
