Type,pax_2014
10,943
26,3492
30,713
33,491
34,196
35,244748
36,54
40,84008
42,71614
79,80672
80,32
91,1689
110,0
117,425
125,604978
131,141754
133,0
150,0
194,152583
218,0
340,1776
355,185
360,333
403,0
404,0
405,393712
406,18726
412,18
413,0
415,172891
416,866943
417,16915
430,0
431,103
441,208964
442,448404
448,52611
456,916174
459,0
461,1846526
469,8085
471,6228
479,32704
482,9250493
483,2155084
484,1585650
485,292127
487,0
489,18
491,754650
556,0
605,0
608,18174886
612,97411781
614,77427167
616,3190735
617,5177096
619,25863009
620,2442
621,0
622,41003584
623,6332666
624,559231
625,643952
626,7714346
627,1837441
629,33162923
631,22106661
632,32695
634,19769684
635,0
637,9832
638,19081804
640,0
641,2067
643,54
646,550
648,518
650,30303
651,947
655,53451743
656,13986544
667,287
669,8
671,467
673,12624070
674,602975
675,28990612
676,3292533
677,6842266
678,10717153
681,0
682,74
683,0
684,714
685,442
687,223515
691,0
692,0
694,70037489
696,2792298
698,44649166
699,22917237
715,0
730,0
732,0
740,2859
817,0
819,29215
820,0
821,0
862,8
887,266173
888,4706724
889,12203
All Rows,676100861
