Type,pax_1999
35,20
79,1186
125,0
148,0
150,5
194,252
218,115
405,597446
408,20244
416,2288
430,0
441,3424911
442,3820251
449,1132717
456,7984924
461,2960594
465,34810
469,223334
471,875624
483,2400695
550,34018
556,0
602,2058573
603,13155469
608,2685944
612,137225
614,10614806
616,21676700
617,15395886
619,122351524
620,35998955
621,2034909
622,80049234
624,502381
625,7439046
626,18293721
627,4021326
628,398223
629,9002201
630,1294067
635,0
640,25151625
645,1745434
650,9648207
654,625800
655,93978136
656,3231259
674,1371002
675,7163085
681,0
691,2407184
694,26438588
696,6558
698,12044948
710,54798
711,16145
715,44286113
730,3004691
732,2394252
733,3834070
740,359983
760,4156967
765,1568863
816,155020
817,1321421
819,885558
820,0
835,2738689
850,0
851,0
852,0
854,0
856,0
860,0
864,0
865,0
868,2445108
All Rows,621657128
