Type,pax_2021
10,22
26,13874
30,18
33,191
34,43
35,73689
36,1968
40,21152
42,86457
79,60131
91,4713
94,212
110,0
117,2
125,411820
131,126219
133,0
150,0
194,46296
195,12
201,0
218,0
317,8
325,49
339,147916
340,211
355,240
359,183246
360,291
362,126
364,1775
366,441
368,480
370,52
393,284
395,1458
403,0
404,0
405,28433
406,11577
412,0
413,0
415,188635
416,600626
430,0
431,74
441,215482
442,110715
449,9168
455,6770
456,51148
458,47571
459,0
461,0
479,135628
482,3027460
483,207390
484,3722
485,53433
489,0
495,67
515,319
530,2334266
556,0
575,880
608,10221554
609,2142
612,75085661
614,111052789
616,857
617,293165
619,163600
620,1533
622,12075958
623,5663743
624,2609684
625,10824
626,4303742
627,4605442
629,12920413
631,13318609
632,55103
634,1343756
635,0
636,174
637,2389651
638,24620341
639,72
640,0
641,18572
642,501
646,1167
647,892
648,4241
651,33
653,245
655,3213
658,1971
659,227
665,299
667,5023
669,14054
671,4110
673,48284573
674,515165
675,10458260
676,132551
677,2654782
678,4537537
681,0
682,278
683,0
685,1040
686,169
687,1168170
688,285
691,0
694,60158975
695,656
696,2719229
698,31556802
699,69613098
715,0
721,8508281
722,19062235
723,3426449
724,1161566
730,0
732,0
740,0
748,113955
750,1017
751,0
770,500
771,166
774,1637
775,496
788,500
819,4875
820,0
821,13
833,830
837,318188
838,9076202
839,4667066
887,1125826
888,43604763
889,1451565
All Rows,613337821
