Type,pax_1996
35,1
79,1907
125,0
405,2312604
408,685865
416,251
441,4605652
442,4253366
449,270316
456,2772737
461,3642775
467,272468
469,1069099
471,882690
483,2271647
484,291725
489,265165
550,45578
556,0
602,1860521
603,14747825
604,91821
616,19351706
617,14816167
619,96300739
620,49255626
621,3727616
622,63814546
625,7548984
626,9829198
627,1491532
628,65091
630,2732309
635,0
640,32633573
645,1837067
650,9989218
654,787670
655,92882953
656,3191070
675,336729
681,0
690,824939
691,3076689
694,15309186
710,1589
711,35551
715,60720292
730,8370886
732,2900540
733,3087644
735,0
740,537610
760,9198084
765,1954226
809,0
816,2051918
817,643740
819,194036
820,0
835,21221
850,0
851,0
852,0
854,0
856,0
864,0
865,0
867,742140
868,2024537
All Rows,562630635
