Type,pax_1992
35,944
218,0
405,287763
408,810011
412,120040
430,227
441,2103245
442,746837
450,318837
456,816014
461,937893
465,11963
467,971101
469,1486479
483,1492919
484,591702
489,705864
550,27181
556,0
570,379111
601,997781
602,2390750
603,6351229
610,25
616,10444046
617,9645313
618,290372
619,58827415
620,46099426
621,4015859
622,36131411
625,7002928
626,5689179
630,3185343
635,1538
640,26379830
645,1683563
650,7379667
655,75750093
681,0
690,3803155
691,3410409
692,185903
693,180759
694,6352634
710,4014303
711,23141
715,77838421
730,18806161
732,2328483
733,2993396
740,263890
760,12040859
765,237792
800,0
809,0
816,2598427
817,410009
819,243255
820,0
822,93314
850,0
851,42275
852,0
854,151281
856,0
860,0
864,0
865,0
867,619076
868,1418951
All Rows,452129793
