Type,pax_2022
26,22466
30,34
33,326
34,90
35,82363
36,2444
39,8
40,26863
42,91301
79,64457
91,4125
94,323
102,1878
110,0
125,361107
131,102412
133,0
150,0
194,47557
201,0
218,0
317,4
325,50
339,157136
340,386
355,373
359,353225
360,280
362,79
364,2147
366,499
368,705
370,12
390,32
393,146
395,1137
403,0
404,0
405,30908
406,17539
412,2
415,674917
416,374196
430,0
431,63
441,240472
442,153626
449,23187
455,13376
456,42481
458,32485
459,0
479,118891
482,2514855
483,226202
484,17213
485,72445
489,0
515,373
530,1885700
556,0
575,647
608,15797067
609,2522
612,93612436
614,145398174
616,1351
617,191011
619,145093
620,4768
622,17806064
623,5764188
624,1209960
625,8435
626,3674517
627,5275962
629,11552691
631,12581972
632,59478
634,3366586
635,0
636,306
637,2000150
638,24195844
639,366
640,0
641,13820
642,80
646,810
647,547
648,2929
651,73
652,48
653,524
655,1228
658,1254
665,11
667,3733
669,22262
671,5804
673,49621240
674,723824
675,10212757
677,2811527
678,6230118
681,0
682,84
683,0
685,1063
687,821892
688,195
691,0
694,76344110
695,779
696,3226963
698,42414011
699,87371360
715,0
721,14262808
722,26162777
723,5405718
724,3423940
732,0
740,0
748,319465
750,942
751,9
770,360
771,572
774,379
775,412
788,676
819,8081
820,0
821,35
833,1325
837,832044
838,13647138
839,9961654
887,718324
888,53349249
889,1423517
All Rows,759764955
