Type,pax_2006
10,748
24,18
30,1294
33,1681
34,160
35,247104
36,1292
39,132
40,62277
42,39700
79,121778
80,1
84,2964
91,640
110,0
111,1601
117,379
125,550507
131,51393
133,0
150,0
170,4169
194,193368
195,800
216,0
218,0
315,943
360,174
390,2030
403,727
404,13140
405,2363838
406,13013
411,10
412,26
415,1127
416,372517
417,31320
430,0
441,137534
442,1912343
450,0
456,5016220
457,46
459,75742
461,3626084
467,40025
469,157085
471,103869
476,337
478,1002
479,12308
482,2546839
483,4295175
484,876129
485,493319
486,0
487,1
489,41724
491,2017966
556,0
608,21594691
612,63088458
614,32461635
616,17385312
617,12830006
619,70687919
620,4890866
621,480228
622,71650111
623,7430223
624,4743424
625,2285159
626,14023984
627,3459868
628,6361915
629,41337481
631,19233158
632,532752
634,3984329
635,13264
636,33
638,4989954
640,7466848
644,1241730
645,1129259
646,514
647,420
650,4680508
655,73459007
656,2635476
662,50
674,3977209
675,34192679
676,4811283
677,5916388
678,1937054
681,115
690,0
691,2481222
692,0
694,56091275
696,127651
698,38667302
699,5755633
710,0
711,0
715,589579
730,0
732,282072
733,0
735,0
740,8250
765,553
816,0
817,731
819,185338
820,0
835,1368233
851,0
852,0
854,0
856,0
860,0
864,0
865,0
868,178119
All Rows,676083887
