Type,pax_2017
10,571
26,18292
30,51
31,49
33,906
34,75
35,137040
36,842
40,57747
42,61523
79,74940
91,1485
110,0
117,63
121,125
125,462088
131,154137
133,0
143,0
150,0
194,136465
195,5
218,0
317,7
340,188
345,219
355,179
359,6
360,214
390,104
393,6
403,0
404,0
405,99133
406,15209
412,4
413,0
415,245570
416,748677
430,0
432,127853
441,336692
442,334178
456,751311
458,28766
459,0
461,30288
469,30548
471,10088
479,207669
482,6109873
483,938346
484,1143393
485,243280
487,0
489,0
491,731614
515,2984
556,0
575,3
608,20188551
609,838
612,117821735
614,115419910
616,2351
617,1400415
619,11001071
620,4818
621,0
622,22433191
623,7066998
624,696330
625,93856
626,5044411
627,4717670
628,7359
629,24239918
631,22573059
632,104470
634,26411136
635,0
636,181
637,441806
638,27979903
639,14
640,0
641,952
642,25616
643,1419
646,962
647,93
648,475
651,578
652,947
655,38111834
656,12182252
658,509
663,859
665,7
667,494
668,11
669,4543
671,627
673,33246508
674,311888
675,17567757
676,256144
677,4877085
678,10936488
681,6
682,859
683,0
684,1370
685,341
687,897666
688,3610
691,0
692,0
694,81136760
696,3412556
698,43713394
699,58421713
715,0
721,126887
730,0
732,0
740,0
750,583
770,616
771,1
775,869
817,0
819,21006
820,0
821,2
887,459765
888,25504670
889,215140
All Rows,752338659
