Type,pax_2020
10,134
26,11771
30,14
33,13
34,41
35,50012
36,1893
40,11092
42,36631
79,43999
91,1266
110,0
117,44
125,247860
131,83488
143,0
150,0
194,31244
195,15
218,3
317,2
325,9
339,2007
340,50
345,24
355,64
359,10055
360,124
362,43
364,1341
366,311
368,529
370,96
390,14
393,95
395,673
403,0
404,0
405,27901
406,9992
412,0
413,0
415,139984
416,288895
432,20757
441,190586
442,43089
449,5739
455,3068
456,58170
458,16623
459,0
461,16
479,128736
482,1895843
483,58041
485,30660
489,1
495,209
530,943541
556,0
575,714
608,7071196
609,1047
612,47338884
614,59564772
616,1927
617,124798
619,91465
620,3154
622,7884436
623,2779646
624,334213
625,20100
626,1553256
627,2358070
629,7972064
631,8666581
632,31695
634,872999
635,0
636,372
637,270702
638,15171708
639,73
640,0
641,1113
642,41
646,1156
647,355
648,1517
655,2096483
656,1002327
658,257
659,390
667,551
669,4748
673,25021745
674,316298
675,6917701
676,1043623
677,1961516
678,2225216
681,0
682,38
683,0
685,650
686,531
687,430035
688,422
691,0
692,0
694,35978915
695,105
696,936376
698,21771932
699,36207451
715,0
721,2642393
722,9708487
723,1487118
724,11497
730,0
732,0
740,0
750,635
770,298
774,287
775,349
788,149
819,4180
820,0
821,5
837,277381
838,853
887,526984
888,21982120
889,508595
All Rows,339583503
