Type,pax_2002
9,0
10,110
30,451
33,1396
34,73
35,180067
36,8308
40,42073
42,40597
79,61972
80,4
84,1987
91,3343
94,22
95,19
110,0
111,593
117,1262
122,87
125,112520
131,24760
133,951
150,0
160,1089
170,3965
190,6
194,154249
195,544
201,4
216,0
218,5
315,116
360,50
401,103
403,0
404,11151
405,677344
406,17849
412,3626
416,197094
417,35174
430,88927
441,1533439
442,2534507
449,1758493
450,24186
456,6917738
461,2295302
467,127195
469,44379
471,1075671
478,13638
479,8268
482,1380052
483,1525930
484,243561
485,207795
486,63
489,17436
490,0
491,1732467
550,0
556,0
602,292922
603,6324737
608,10552995
612,27896798
614,27341435
616,18134485
617,14766327
619,86050321
620,15991114
621,1677550
622,76390030
623,2571710
624,6318081
625,7023814
626,18604840
627,4889460
628,6447417
629,11989301
630,966558
631,1728995
632,553959
634,368333
635,0
640,15755102
645,1399347
650,4251021
654,170998
655,75286404
656,2160305
674,2944903
675,12590430
676,1802778
681,14
690,0
691,2287603
692,0
694,35733159
696,117759
698,23515297
699,4494239
710,5398
711,0
715,8407742
730,1053023
732,925593
733,1212038
735,0
740,873262
760,351634
765,17758
816,0
817,114853
819,893475
820,0
835,2726410
850,0
851,0
852,0
854,5
856,0
860,0
864,0
865,0
868,1984199
All Rows,571067942
