Type,pax_1997
35,39
79,1726
125,0
216,0
218,0
220,0
405,685156
408,712632
416,263
430,95
441,4546850
442,4331622
449,352541
456,7354438
461,3260517
467,6869
469,1108354
471,934453
483,2751372
550,49846
556,0
602,1853643
603,14657233
614,94995
616,21527869
617,15871490
619,101348333
620,44115543
621,2526155
622,65930630
625,6809745
626,10871484
627,2483413
628,353134
629,816889
630,5774125
635,0
640,27819887
645,1663568
650,10298870
654,982014
655,94953740
656,3723465
675,1816515
681,0
690,55317
691,2575619
694,17489675
698,721741
710,9657
711,21519
715,60066292
730,8532892
732,2838228
733,2419288
740,451809
760,7251664
765,2899655
809,0
816,1890151
817,407564
819,354746
820,0
835,901309
850,0
851,0
852,0
854,0
856,0
860,0
864,0
865,0
867,16005
868,2487624
All Rows,573780268
