Type,pax_2009
10,639
30,722
33,151
34,174
35,247783
36,316
40,84033
42,42657
79,70088
91,6952
110,0
117,2217
125,489895
131,60062
133,0
150,0
170,2608
194,136874
195,401
218,0
315,0
360,174
390,4707
403,0
404,0
405,921851
406,11731
412,61
415,90671
416,426370
417,24237
430,0
441,103718
442,1530007
449,55245
450,0
455,5737
456,2938098
457,9
459,41170
461,2488611
467,3078
469,281
476,349
478,587
479,46268
482,7043099
483,3655718
484,976433
485,377511
486,0
487,0
489,36585
491,820469
556,0
608,22008969
612,84144377
614,38017711
616,9257436
617,11079981
619,43334401
620,170125
621,0
622,60451480
623,6427176
624,1135115
625,2120901
626,11809684
627,2850288
628,2803505
629,41083042
631,21148128
634,6864716
635,3415
636,55
638,14183063
640,2860166
641,814
642,349
643,165
644,1796806
645,873114
646,1012
647,345
648,123
650,4784594
651,266
655,63024016
656,2582984
667,150
668,10
669,32
671,247
673,8023106
674,972746
675,27877990
676,4442261
677,7884645
678,7982184
679,55
681,0
684,169
687,213050
690,0
691,596128
692,0
694,53355489
696,150118
698,37617026
699,7458900
710,0
715,699
730,0
732,2555
733,0
735,0
740,862
816,0
817,2081
818,0
819,228242
820,0
851,2
852,0
860,0
862,0
864,0
865,0
870,15
All Rows,634375431
