Type,pax_1998
35,0
79,793
125,0
143,0
218,0
220,0
405,684566
408,614920
416,412
441,4357328
442,3748370
449,642199
456,8643644
461,2753249
467,0
469,1053279
471,833122
483,2312787
550,42062
602,2179973
603,13727264
614,2383362
616,22200263
617,15291592
619,114407141
620,40458719
621,1651531
622,72198700
625,7370685
626,14164892
627,2912052
628,165282
629,2847783
630,1518320
635,0
640,29786649
645,2027647
650,10258752
654,969978
655,93808449
656,3544883
674,153640
675,4647701
681,0
691,2310381
692,4688
694,20229949
698,5522547
710,21672
711,26470
715,54545658
730,5699296
732,2950122
733,2871313
740,361956
760,6262545
765,2320984
809,0
816,1699946
817,1259347
819,1378083
820,0
835,1914647
850,0
851,0
852,0
854,0
856,0
860,0
865,0
868,2614053
All Rows,596355646
