Type,pax_2003
10,142
30,1384
33,2265
34,427
35,197006
36,10667
39,17
40,74119
42,60132
79,72970
84,6444
91,1135
94,4
95,3
110,0
111,3989
117,667
122,335
125,513294
131,51206
133,0
150,0
170,4661
173,17
190,5231
194,175198
195,3658
216,0
218,4
315,1110
360,109
403,0
404,17391
405,2434831
406,18083
411,6058
412,287
416,285683
417,30946
430,52418
441,325093
442,2613402
449,1214860
450,17936
456,6510480
457,11
461,4076516
466,0
467,280580
469,180101
471,1711446
474,437
476,1692
478,18256
479,8407
482,1504000
483,4704979
484,929754
485,356636
486,27
487,0
489,85502
490,0
491,1749443
550,0
556,0
602,22481
603,4664002
608,14661817
612,31193810
614,29627426
615,0
616,17834185
617,13553267
619,81752236
620,15139125
621,1373350
622,70396408
623,5021616
624,6649372
625,5342677
626,19189314
627,4334292
628,7504759
629,30400197
630,668463
631,6018288
632,2052375
634,2315636
635,2181
638,89041
640,12224345
644,176085
645,1492148
650,4228202
654,230921
655,73001300
656,2205845
670,0
674,3419978
675,19427369
676,4270756
681,0
690,0
691,2483338
692,0
694,40695401
696,116283
698,26618636
699,4194824
710,1401
711,0
715,1687762
730,72947
732,974566
733,564
740,269419
760,11021
765,1235
816,0
817,40564
819,518109
820,0
835,2865749
851,0
852,0
854,0
856,0
860,0
864,0
865,0
868,1985624
All Rows,603342159
