Type,pax_2013
10,933
30,314
31,9
33,905
34,176
35,220093
36,92
39,143
40,74656
42,41513
79,28200
80,8
91,1964
94,5
110,0
117,521
125,630090
131,45507
133,0
150,0
190,994
194,127869
218,0
340,1445
355,142
360,493
403,0
404,0
405,900837
406,21859
412,25
415,106084
416,575115
417,19543
422,5951
430,0
431,184
441,122198
442,283671
448,79010
456,890828
459,0
461,2276787
479,42641
482,8539347
483,2397589
484,1480434
485,358760
486,0
487,0
489,3390
491,979682
556,0
608,19305674
612,94179543
614,66989820
616,3743214
617,8459023
619,25378116
620,3466
621,0
622,49477254
623,6702399
624,689720
625,1901600
626,7889744
627,1796186
629,38189429
631,22629525
634,14347153
635,0
637,3542
638,14962580
640,0
641,2017
643,330
644,176843
645,0
646,663
647,0
648,726
650,2760157
651,323
654,10696
655,56766548
656,11733903
658,27
667,52
669,2
671,432
673,9306592
674,936408
675,30778661
676,4863107
677,6990609
678,10559138
681,0
683,0
684,708
685,144
687,231513
691,0
692,0
694,67129036
696,1865968
698,41200304
699,17281163
710,0
715,0
730,0
732,0
740,2660
817,0
819,23559
820,0
821,0
862,107
887,228905
All Rows,659759296
