Type,pax_2010
10,642
30,1075
33,103
34,145
35,265961
36,240
39,55
40,85226
42,44520
79,83277
91,4404
110,0
117,8194
125,527147
131,86958
133,5
150,0
170,2656
194,139485
195,332
218,0
315,0
360,200
403,0
404,0
405,939014
406,14653
412,7
415,116541
416,454271
417,23950
430,0
441,112455
442,1579612
448,56710
449,74571
455,1264
456,2466434
459,1223
461,2456373
467,1164
469,2
476,279
479,54615
482,6685801
483,2941090
484,1032264
485,426516
486,0
487,0
489,34439
491,853239
556,0
608,21407224
612,87008906
614,45114609
616,8174109
617,11316039
619,40216710
620,157233
621,0
622,57319337
623,6771623
624,734168
625,2243858
626,11553241
627,3236514
628,3083324
629,40789209
631,22457728
634,7971800
635,4830
636,142
638,14481190
640,1167493
641,1614
642,42
643,378
644,1337845
645,928909
646,1076
647,348
648,839
650,4988412
651,211
654,8929
655,61429399
656,2758888
658,27
667,451
669,1
671,748
673,9323774
674,1180892
675,30169187
676,4870420
677,7359756
678,9158212
680,5374
681,0
683,0
684,573
687,393392
691,0
692,0
694,56573088
696,538706
698,37982479
699,9888958
710,0
715,1413
730,0
732,772
735,0
740,3567
816,0
817,0
818,0
819,251625
820,0
852,0
854,0
860,0
864,0
865,0
All Rows,645946704
