Type,pax_2012
10,717
30,1126
31,4
33,401
34,199
35,233333
36,205
39,10
40,74662
42,38748
79,57414
91,1506
110,0
117,555
125,705062
131,70776
133,0
150,0
170,1830
190,1601
194,139130
195,72
218,0
340,1450
360,588
403,0
404,0
405,964298
406,20968
412,8
413,0
415,51994
416,561614
417,16683
422,4546
430,0
431,128
441,113956
442,476647
448,62150
449,35303
456,939677
459,0
461,2439109
479,53952
482,7998605
483,2684728
484,1550928
485,409104
486,0
487,0
489,11619
491,922168
556,0
608,21059113
612,93017843
614,57520344
616,6138929
617,11104271
619,32631257
620,94640
621,0
622,54606325
623,7068319
624,818810
625,2122405
626,9274018
627,1915880
628,1142939
629,38817210
631,22833785
634,10028950
635,6197
636,25
638,14253774
640,18707
641,1479
643,394
644,571766
645,398
646,480
647,207
648,483
649,51
650,3367430
651,210
654,146478
655,58217500
656,7755605
658,37
667,300
669,16
671,651
673,8976973
674,1358994
675,30527914
676,5175205
677,6658312
678,10816617
681,0
683,0
684,649
687,230269
690,0
691,0
692,0
694,64369888
696,1319256
698,39274025
699,13308871
710,0
715,0
730,0
732,0
740,2441
817,0
819,30214
820,0
821,0
854,64
860,0
862,216
864,0
865,0
887,69063
All Rows,657303771
