Type,pax_2011
10,621
30,1010
33,688
34,158
35,265733
36,199
39,51
40,81907
42,39733
79,81761
91,4982
110,0
117,320
125,673211
131,94987
133,0
150,0
170,2963
194,135840
218,0
340,1405
360,331
403,0
404,0
405,959097
406,23325
412,15
413,0
415,49145
416,489667
417,15692
422,9
430,0
431,122
441,96810
442,1655143
448,73361
449,77744
456,1875173
459,0
461,2544680
467,430
469,0
476,397
479,76386
482,8512627
483,2939277
484,1226281
485,450521
486,0
487,0
489,33125
491,806161
556,0
608,21666842
612,93240383
614,51697542
616,7207846
617,11637535
619,38523910
620,126741
621,0
622,56640935
623,7308757
624,752686
625,2199371
626,9758959
627,2413777
628,2912921
629,40036046
631,21373778
632,172
634,8550286
635,12033
636,328
638,14529511
640,32141
641,1427
643,454
644,714359
645,748
646,653
647,259
648,1091
650,4816994
651,266
654,139746
655,59084001
656,3870455
658,62
667,265
669,50
671,618
673,8945034
674,1017659
675,29189536
676,5045488
677,6706555
678,9932004
681,0
683,0
684,704
687,254207
691,0
692,0
694,61376658
696,1095508
698,39719577
699,10024432
710,0
715,1178
730,0
732,314
740,5144
816,0
817,0
819,42430
820,0
851,7
852,0
854,0
860,0
862,143
864,0
865,0
All Rows,655901614
