Type,pax_2004
10,94
30,987
33,2092
34,219
35,228934
36,11259
40,71535
42,68604
79,132398
80,2
84,4562
91,1868
94,16
110,0
111,5761
117,590
122,327
125,522155
131,55722
133,0
150,0
170,4760
190,5012
194,161477
195,1916
216,0
218,0
242,14
315,1063
360,121
403,0
404,11632
405,2575375
406,13723
407,1637
408,1811
411,8151
412,13
416,333786
417,31449
430,58166
441,109633
442,2661488
449,426723
450,0
456,6477871
457,81
461,3922238
467,242571
469,159867
471,893571
476,2371
478,11380
479,10514
482,1909261
483,4888512
484,1088239
485,584651
486,28
487,9
489,100346
490,0
491,1319966
550,0
556,0
602,15740
603,1196701
608,17518927
612,39418961
614,31970032
616,17105363
617,14051093
619,83490696
620,14616994
621,1009838
622,71556678
623,7335844
624,6230372
625,4928977
626,19205187
627,3966213
628,7849849
629,37896042
630,559168
631,10013062
632,1832171
634,3745753
635,11768
638,2106260
639,114
640,10298772
644,812168
645,1382492
650,4424936
654,78154
655,76660763
656,2095704
674,3863239
675,26121046
676,4587049
677,979447
681,0
690,0
691,2743598
692,0
694,48783625
696,127307
698,29248358
699,4135616
710,4502
711,0
715,1139073
730,0
732,747670
733,0
740,29244
760,6795
765,5359
816,0
817,4538
819,481286
820,0
835,2704502
851,0
856,0
860,0
864,0
865,0
868,2095104
All Rows,650318701
