Type,pax_2019
10,511
26,20767
30,25
33,579
34,38
35,138307
36,1815
40,33722
42,56218
79,99176
91,467
110,0
117,63
125,462688
131,129337
133,0
143,0
150,0
194,102549
195,25
218,0
317,2
325,95
339,3653
340,78
355,67
359,7897
360,285
362,141
364,3289
366,497
368,112
370,54
393,337
403,0
404,0
405,49556
406,17617
412,1
413,0
415,263707
416,642181
432,156271
441,262604
442,3613
449,624
455,3213
456,410056
458,46478
459,0
461,21
469,6623
479,241951
482,4304222
483,400463
485,155154
489,0
495,400
515,2137
530,184317
556,0
575,372
608,20124841
609,1220
612,122193381
614,132846901
616,1926
617,42177
619,16665
620,6628
622,25117145
623,7251823
624,1059685
625,88576
626,3010396
627,6662892
628,3356
629,23158911
631,20700666
632,113085
634,4024270
635,2
636,342
637,281467
638,30267440
639,193
640,0
641,1362
642,0
646,728
647,665
648,563
651,156
652,125
655,19556614
656,7327324
658,1350
659,117
663,0
667,923
669,6923
671,71
673,46038182
674,625301
675,18988622
676,3133437
677,5236684
678,10666190
681,0
682,372
683,0
684,396
685,1373
686,365
687,682190
688,4404
691,0
692,0
694,85259496
696,3231704
698,49878803
699,82547365
715,0
721,3111503
722,12783121
723,1833273
730,0
732,0
740,0
750,613
770,698
774,282
775,596
788,182
819,6466
820,0
821,0
837,590139
838,1735021
839,326439
887,909852
888,60531218
889,599413
All Rows,820808984
