Type,pax_1990
143,0
216,0
218,0
405,7898
408,227153
412,147293
430,145712
441,196844
442,2967
450,1054557
454,586
461,758455
464,258259
465,8779
467,1035461
469,527532
483,1185475
489,240782
550,14311
556,0
570,608533
602,4983697
603,1811327
616,1416259
617,5996722
619,56432274
620,50398565
621,4183816
622,25258696
625,8460903
626,4072991
630,4712082
635,983209
640,38933219
645,400474
650,9986159
655,59948179
690,5296795
691,1250511
692,167733
693,1574669
694,1013040
710,10262572
711,25173
715,94272153
730,19337292
732,2123883
733,3018169
760,11139255
765,130991
800,0
808,1692
809,0
816,2993052
817,1171568
819,135416
820,0
822,53188
850,0
851,18528
852,1291
854,82369
856,0
860,3243508
864,0
865,0
866,676781
867,3181764
868,1224645
All Rows,446795207
