Type,pax_1994
35,42
79,232
405,1983261
408,655964
441,4242402
442,3274263
449,460178
456,2348446
461,3850520
464,149062
467,646993
469,890696
471,136699
483,1511196
484,209591
489,810360
550,42210
556,0
602,2825854
603,14023674
604,82148
616,18249605
617,13794167
618,462419
619,82593405
620,51036182
621,3630993
622,50974745
625,6444765
626,7751326
627,270536
630,3076091
635,1286
640,32038520
645,1850576
650,10420535
655,83503676
656,563861
690,1516657
691,4185544
692,0
693,117104
694,13438598
710,22
711,29105
715,60739609
730,10464397
732,2595973
733,2894217
740,655086
760,10378439
765,1149049
809,0
816,2266659
817,230096
819,254811
820,0
850,0
851,99
852,0
854,8173
856,0
860,0
865,0
866,123372
867,109368
868,1692298
All Rows,517655155
