Type,pax_2016
10,640
26,9716
30,79
31,100
33,387
34,34
35,188237
36,6328
40,67275
42,51799
79,74141
80,1
91,1292
110,0
117,129
121,127
125,501353
131,184916
133,0
150,0
194,149347
195,31
218,0
317,1
340,489
345,706
355,213
360,1599
403,0
404,0
405,146846
406,14349
409,128
412,49
413,0
415,229318
416,720130
417,7048
430,0
432,71894
441,348110
442,482368
456,824064
458,22939
459,0
461,47223
469,23290
471,11546
479,153245
482,7260804
483,1714375
484,1339713
485,233436
487,0
489,0
491,805548
556,0
603,173758
608,20291696
609,362
612,109746010
614,101205528
616,1352174
617,2874136
619,20364725
620,6296
621,108
622,25815680
623,7025123
624,550777
625,81487
626,7053390
627,2993362
628,4075
629,27446900
631,22303871
632,56639
634,23850969
635,0
636,48
637,249515
638,26167374
640,0
641,1556
642,5305
643,459
646,561
647,101
648,318
651,578
652,242
655,42984739
656,13826623
658,254
663,499
667,359
669,1159
671,581
673,26451040
674,318911
675,20534425
676,989882
677,5123790
678,10984251
681,0
682,210
683,0
684,1014
685,776
687,779590
688,1574
691,0
692,0
694,78532900
696,3436598
698,45186063
699,45157125
715,0
730,0
732,0
740,0
750,168
770,266
771,41
775,436
817,0
819,97089
820,0
821,0
822,90592
887,517727
888,20073676
889,239304
All Rows,730650148
