Type,pax_1991
35,389
110,0
125,461
216,0
228,0
404,520
408,630420
412,156609
441,873115
442,133625
450,718336
461,1173916
464,558
465,8018
467,1084987
469,1683712
483,1360488
484,157416
489,298316
550,14103
556,0
570,398784
601,1532994
602,2617158
603,3010662
610,0
616,4927516
617,8506964
619,58666232
620,48136649
621,4344816
622,30293980
625,7004735
626,5257808
630,3825144
635,165735
640,31338382
645,594848
650,7359075
655,65892234
690,4301964
691,2688646
692,121514
693,121265
694,3069473
710,7069830
711,21443
715,81248455
730,18779034
732,1894620
733,2995378
740,136719
760,10157578
765,208379
800,0
809,0
816,2634150
817,1009720
819,281769
820,0
822,71815
850,0
851,49360
852,0
854,67651
856,0
860,1203119
864,0
865,0
866,69380
867,1339048
868,1243872
All Rows,432952887
