Type,pax_2008
10,885
30,587
31,6
33,199
34,173
35,250586
36,425
40,76336
42,52978
79,88364
91,8290
94,2
95,5
110,0
111,1379
117,1245
125,561552
131,60720
133,0
150,0
170,2947
194,157264
195,264
216,0
218,0
315,926
360,223
390,11092
403,0
404,0
405,1280794
406,10213
412,27
415,32961
416,463115
417,28926
430,0
441,110830
442,1667766
449,50914
450,0
455,5673
456,4267534
457,193
459,63474
461,2776810
467,7756
469,2653
476,1789
478,696
479,22558
482,6022804
483,3877581
484,849523
485,219986
486,0
487,0
489,38604
491,1412884
556,0
608,22842085
612,82446862
614,36411404
616,14306531
617,12238445
619,57146562
620,929275
621,89910
622,65104886
623,7162441
624,2306564
625,1800869
626,13826921
627,2535767
628,3958296
629,42897204
631,19702169
632,120371
634,4992883
635,8521
636,126
638,11142376
640,3725061
644,1893647
645,1125422
646,906
647,883
650,5116478
655,68921675
656,2583537
673,6450685
674,2823768
675,29432777
676,4304234
677,5865779
678,6552476
681,5
690,0
691,2330683
692,0
694,55686460
696,353686
698,39877351
699,5514347
710,0
715,91636
730,0
732,8458
733,0
735,0
740,3872
765,894
816,0
817,5200
818,0
819,78172
820,0
852,0
860,0
864,0
865,0
870,13
All Rows,669211085
