Type,pax_2007
10,956
30,682
33,779
34,214
35,258978
36,3985
40,84030
42,51502
79,98439
80,2
84,1937
91,5048
94,4
110,0
111,1450
117,173
125,544193
131,58299
133,0
150,0
170,4263
190,1
194,178887
195,1206
216,0
218,0
315,1275
360,193
390,10996
403,0
404,2952
405,2298481
406,13681
412,108
415,34718
416,474503
417,34850
430,0
441,117998
442,1822445
450,0
455,1993
456,4963631
457,114
459,124963
461,3454658
467,38448
469,39532
476,244
478,1035
479,14434
482,3473132
483,4261190
484,916416
485,322711
486,3
487,0
489,47788
491,1849727
556,0
608,22722070
612,74857720
614,35483699
616,17612244
617,12511653
619,68351307
620,3266715
621,394920
622,72266445
623,7563955
624,3434737
625,2250461
626,14770150
627,3520409
628,5484972
629,43658066
631,20424228
632,628193
634,4084461
635,10129
636,189
638,6974975
640,6154014
644,1632714
645,1536312
646,1416
647,2094
650,5251134
655,72796033
656,2578284
673,1465414
674,4231855
675,33159199
676,4690747
677,6601938
678,3953102
681,14
690,0
691,2778581
692,0
694,56758604
696,417211
698,41318989
699,5836780
710,0
711,0
715,442773
730,0
732,65870
733,0
740,2823
765,3287
816,0
817,4736
818,0
819,90819
820,0
851,0
852,0
854,0
856,0
860,0
862,95
864,0
865,0
All Rows,697663783
