Code,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
698,Airbus Industrie A319,,,,,,,,721741,5522547,12044948
614,Boeing 737-800,,,,,,,,94995,2383362,10614806
629,Canadair RJ-200ER /RJ-440,,,,,,,,816889,2847783,9002201
456,Saab-Fairchild 340/B,,,816014,2348481,2348446,1780272,2772737,7354438,8643644,7984924
675,Embraer-145,,,,,,,336729,1816515,4647701,7163085
627,Boeing 777-200ER/200LR/233LR,,,,,270536,1059212,1491532,2483413,2912052,4021326
656,McDonnell Douglas MD-90,,,,,563861,2304343,3191070,3723465,3544883,3231259
835,Avroliner RJ85,,,,,,,21221,901309,1914647,2738689
608,Boeing 717-200,,,,,,,,,,2685944
674,Embraer-135,,,,,,,,,153640,1371002
449,Dornier 328,,,,,460178,604103,270316,352541,642199,1132717
471,British Aerospace Jetstream 41,,,,,136699,636270,882690,934453,833122,875624
654,McDonnell Douglas DC9 Super 87,,,,,,164575,787670,982014,969978,625800
624,Boeing 767-400/ER,,,,,,,,,,502381
628,Canadair RJ-100/RJ-100ER,,,,,,,65091,353134,165282,398223
740,McDonnell Douglas MD-11,,136719,263890,663883,655086,495117,537610,451809,361956,359983
612,Boeing 737-700/700LR/Max 7,,,,,,,,,,137225
696,Airbus Industrie A330-200,,,,,,,,,,6558
416,Cessna 208 Caravan,,,,0,,,251,263,412,2288
79,Piper PA-32 (Cherokee 6),,,,,232,922,1907,1726,793,1186
194,Piper PA-31 (Navajo)/T-1020,,,,,,,,,,252
35,Cessna C206/207/209/210 Stationair,,389,944,,42,85,1,39,0,20
150,Curtiss C46/20t/A/D/F/R Commando,,,,,,,,,,5
125,Cessna C-402/402A/402B,,461,,,,,0,0,0,0
148,Cessna C-337 (Super Sky Master),,,,,,,,,,0
681,Dassault-Breguet Mystere-Falcon,,,0,0,,0,0,0,0,0
7,Aero Commander 200,,,,,,,,,,
8,Aero Macchi AL-60,,,,,,,,,,
9,Aeronca 7-AC,,,,,,,,,,
10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,,,,,,,,,
20,Bellanca CH-300,,,,,,,,,,
24,Beech B-23 Musketeer,,,,,,,,,,
26,Gipps Aero Ga8 Airvan,,,,,,,,,,
29,Cessna 150/152,,,,,,,,,,
30,Cessna 180,,,,,,,,,,
31,Cessna 180A/B,,,,,,,,,,
32,Cessna 180C/D/E/F,,,,,,,,,,
33,Cessna 185A/B/C Skywagon,,,,,,,,,,
34,Helio H-250/295/395,,,,,,,,,,
36,Cessna 172 Skyhawk,,,,,,,,,,
37,Cessna 195,,,,,,,,,,
38,Cessna 177 Cardinal,,,,,,,,,,
39,Cessna 182 Skylane,,,,,,,,,,
40,De Havilland DHC2 Beaver,,,,,,,,,,
41,Cessna 205,,,,,,,,,,
42,De Havilland DHC3 Otter,,,,,,,,,,
44,Lake LA-4,,,,,,,,,,
50,Howard DGA-15P,,,,,,,,,,
51,Mooney M-21,,,,,,,,,,
52,Mooney M-20C/E/G,,,,,,,,,,
65,Noorduyn UC-64AS,,,,,,,,,,
70,Pilatus Porter PC6,,,,,,,,,,
71,Pilatus Porter PC6/350,,,,,,,,,,
