Code,Description,pax_1990,pax_1991,pax_1992,pax_1993,pax_1994,pax_1995,pax_1996,pax_1997,pax_1998,pax_1999,pax_2000,pax_2001,pax_2002,pax_2003,pax_2004,pax_2005,pax_2006,pax_2007,pax_2008,pax_2009,pax_2010,pax_2011,pax_2012,pax_2013,pax_2014,pax_2015,pax_2016,pax_2017,pax_2018,pax_2019,pax_2020,pax_2021,pax_2022
94,Land-Turbine,,,,,,,,,,,,,22.0,4.0,16.0,,,4.0,2.0,,,,,5.0,,,,,,,,212.0,323.0
95,Land-Piston-Lt 450 Hp,,,,,,,,,,,,,19.0,3.0,,,,,5.0,,,,,,,,,,,,,,
96,Land-Piston-450+ Hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Stinson F.W. 300-450 Hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Stinson 0-299 Hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,P2012 Traveler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878.0
103,Aero Commander (500/600 Series Excpt 680FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Grand Commander 680FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Beech C-50 (Twin Bonanza),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Beechcraft Beech 18 C-185 (Federal Express has waiver to report all its small aircraft under code 110, regardless of actual aircraft type)",,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Beech King Air 90,,,,,,,,,,,,,593.0,3989.0,5761.0,6348.0,1601.0,1450.0,1379.0,,,,,,,,,,,,,,
113,Beech B-95 (Travelair),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Beech AT-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Beech Baron (55 Series),,,,,,,,,,,,,1262.0,667.0,590.0,748.0,379.0,173.0,1245.0,2217.0,8194.0,320.0,555.0,521.0,425.0,192.0,129.0,63.0,19.0,63.0,44.0,2.0,
120,Cessna T-50 (Bobcat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Cessna C-421,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,125.0,,,,,
122,Cessna C-310 Series,,,,,,,,,,,,,87.0,335.0,327.0,38.0,,,,,,,,,,,,,,,,,
123,Cessna C-340/335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Cessna C-402/402A/402B,,461.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,112520.0,513294.0,522155.0,560971.0,550507.0,544193.0,561552.0,489895.0,527147.0,673211.0,705062.0,630090.0,604978.0,551046.0,501353.0,462088.0,470503.0,462688.0,247860.0,411820.0,361107.0
128,Cessna 404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,C-28 5ACF PBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Pilatus Britten-Norman BN2/A Islander,,,,,,,,,,,,,24760.0,51206.0,55722.0,55321.0,51393.0,58299.0,60720.0,60062.0,86958.0,94987.0,70776.0,45507.0,141754.0,176509.0,184916.0,154137.0,113049.0,129337.0,83488.0,126219.0,102412.0
132,C-28 5ACF-PBY-EMQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Beech 65/65A-80/65B-80 (Queen Air),,,,,,,,,,,,,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
140,Convair CV-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Convair CV-340/440,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
148,Cessna C-337 (Super Sky Master),,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
149,Cessna C-401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Curtiss C46/20t/A/D/F/R Commando,,,,,,,,,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Cessna C-411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,De Havilland DHC4 Caribou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,McDonnell Douglas DC-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Hamilton B-18s Little Liner (Converted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"McDonnell Douglas DC-3/A/C,C-47/B",,,,,,,,,,,,,1089.0,,,,,,,,,,,,,,,,,,,,
161,Dornier Do-28 Skyservant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Cessna C-336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Fairchild C-82A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Grumman G-21A (Goose),,,,,,,,,,,,,3965.0,4661.0,4760.0,4708.0,4169.0,4263.0,2947.0,2608.0,2656.0,2963.0,1830.0,,,,,,,,,,
171,Grumman SA-16A-GR (Albatross),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Grumman G-44/44A (Widgeon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Grumman G-73 (Mallard),,,,,,,,,,,,,,17.0,,228.0,,,,,,,,,,,,,,,,,
174,De Havilland Dove DH-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Lockheed L-12A/L-10/10A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Martin 202/202A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Martin 404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
